0	CPRFalse	We have reported that a deficiency of @CHEMICAL$ (BH(4)), an active cofactor of endothelial NO synthase (eNOS), contributes to the endothelial dysfunction through reduced eNOS activity and increased superoxide anion (O(2)(-)) generation in the @GENE$-resistant state.
1	CPR:4	The upregulation of calpain, @CHEMICAL$ and caspase-3 activity were further inhibited by treatment with @GENE$ in the presence of ALD.
2	CPRFalse	Peptidergic neurones accumulate amines via an unusual uptake process, designated Transport-P. @CHEMICAL$ binds to @GENE$ on these cells and is displaceable by unlabelled prazosin in concentrations up to 10(-7) M. However, at greater concentrations of prazosin, there is a paradoxical accumulation of [(3)H]-prazosin which we have attributed to Transport-P. Uptake of prazosin via Transport-P is detectable at 10(-10) M prazosin concentration, is linear up to 10(-7) M and at greater concentrations becomes non-linear.
3	CPR:9	@CHEMICAL$ (AKRs) metabolize a wide range of substrates, including polycyclic aromatic hydrocarbons (@GENE$), generating metabolites (o-quinones) and reactive oxygen species (ROS), which are capable of initiating and promoting carcinogenesis.
4	CPRFalse	We describe here the putative influence of the dose of antipsychotic medication (chlorpromazine equivalents, @CHEMICAL$), the antipsychotic serum concentration of dopamine (DA) D2-blocking activity and the approximated central dopamine D2-receptor occupancy (DA @GENE$-occupancy), on conditioned blocking (CB) measures of attention and performance on a neuropsychological battery, in 108 patients with schizophrenia (compared with 62 healthy controls).
5	CPRFalse	Effect of @CHEMICAL$ on @GENE$ and butyrylcholinesterase activities in the presence of L-carnitine in rat selected brain and peripheral tissues.
6	CPR:9	BACKGROUND: @CHEMICAL$ synthesized by histidine decarboxylase (@GENE$) from L-histidine is a major chemical mediator in the development of nasal allergy which is characterized by nasal hypersensitivity.
7	CPRFalse	"Ca(2+) transients stimulated by either tolbutamide or gliclazide were inhibited by thapsigargin or nicardipine and were significantly potentiated by 8-pCPT-2'-O-Me-cAMP-AM at 5 mM but not 1 mM. Both tolbutamide and gliclazide stimulated phospholipase C activity; however, only gliclazide did so independently of its activity at K(ATP) channels, and this activity was partially inhibited by pertussis toxin. 8-pCPT-2'-O-Me-cAMP-AM alone (5 mM) did not stimulate @CHEMICAL$ secretion, but did increase intracellular Ca(2+) concentration significantly, and this activity was inhibited by 25 mM 2-aminoethoxydiphenylborate (2-APB) or the removal of extracellular Ca(2+). @GENE$ potentiation of insulin secretion stimulated by tolbutamide was markedly inhibited by 2-APB (25 mM) and enhanced by the PKC inhibitor bisindolylmaleimide I (1 mM)."
8	CPRFalse	Unlike mouse RetSat (mRetSat), @CHEMICAL$ had an altered bond specificity saturating either the 13-14 or 7-8 double bonds of all-trans-retinol to produce either all-trans-13,14-dihydroretinol or all-trans-7,8-dihydroretinol, respectively. zRetSat A also saturated the 13-14 or 7-8 double bonds of all-trans-3,4-didehydroretinol (vitamin A2), a second endogenous form of @GENE$ in zebrafish.
9	CPRFalse	Finally, we illustrate how BH4 might transform the NOS dimer into an efficient @CHEMICAL$,and briefly touch on some more speculative aspects of the role of @GENE$ in NO synthesis.
10	CPRFalse	Felodipine and the p-chloro analogue inhibited the basal (@CHEMICAL$/calmodulin-independent) activity of @GENE$ as well as the calmodulin-stimulated activity.
11	CPRFalse	We report that @CHEMICAL$ triggered the formation of microtubule-associated protein-light chain 3 (@GENE$) positive autophagosomes and the accumulation of acidic vesicular and autolysosomes in MDA-MB-231 cells.
12	CPRFalse	Mitochondrial @CHEM-GENE$ activity and the GSH/glutathione disulfide ratio were decreased by TCDD, ultimately leading to mitochondrial dysfunction, characterized by decreased inner mitochondrial membrane potential and ATP production, and increased production of the reactive oxygen species (ROS), hydrogen peroxide.
13	CPRFalse	"By introducing the mutant-derived genomic library into a non-@CHEMICAL$-utilizing strain, the mutant was found to carry an allele of the wild-type PRO1 gene encoding gamma-glutamyl kinase, which resulted in a single amino acid replacement; Asp (@GENE$) at position 154 was replaced by Asn (AAC)."
14	CPRFalse	Kynurenic acid (KA) is an endogenous @CHEMICAL$ antagonist at the level of the different ionotropic @GENE$ receptors.
15	CPR:3	As add-on therapy in patients with suboptimal glycaemic control despite oral antihyperglycaemic treatment, sitagliptin improved @CHEMICAL$ to a significantly greater extent than placebo when added to @GENE$ or pioglitazone and was noninferior to glipizide when added to metformin.
16	CPR:4	These channels have a conductance of 14 pS. TREK-1 currents are insensitive to pharmacological agents that block @CHEMICAL$ activity such as @GENE$ and quinidine.
17	CPRFalse	We found that oxidized lipids extracted from @CHEMICAL$ (LipE) induced oxidative stress by determining, 6 h after treatment, ROS overproduction (about a 100% and a 43% increase of O*2 and @GENE$ production, respectively, P<.05: LipE vs. control) and, 12 h after treatment, GSH depletion (about a 26% decrease, P<.05: LipE vs. control), and by impairing the activities of superoxide dismutase, catalase and glutathione peroxidase.
18	CPRFalse	Choline dehydrogenase (CHDH) and betaine-@CHEMICAL$ methyltransferase (@GENE$) are 2 enzymes involved in choline oxidation.
19	CPR:4	Troglitazone inhibited the antigen-induced production of LTB(4), C(4) and E(4) and the potency of the inhibition was comparable to that of @CHEMICAL$, a specific inhibitor of @GENE$ (5-LOX) and a clinically used anti-asthmatic drug.
20	CPRFalse	Mutation of @CHEMICAL$ 228 to lysine enhances the glucosyltransferase activity of bovine beta-1,4-galactosyltransferase I. Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from UDP-Gal to GlcNAc in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (@GENE$ activity), albeit at only 0.3% efficiency.
21	CPRFalse	Effects of some mono- and bisquaternary ammonium compounds on the reactivatability of soman-inhibited human acetylcholinesterase in vitro. @CHEMICAL$ (AChE) inhibited by the organophosphate soman (1,2,2-trimethyl-propylmethylphosphonofluoridate) rapidly becomes resistant to reactivation by oximes due to dealkylation of the @GENE$-enzyme complex.
22	CPRFalse	Autoradiographs of PAGE-separated reactions containing either @CHEMICAL$-labeled factor IX or (125)I-labeled factor X showed that the increased factor X activation was not due to @GENE$-mediated feedback activation of factor IX and that there was increased cleavage of factor X heavy chain in the presence of factor IX in comparison with control reactions but only in the presence of both the enzyme and the surface.
23	CPRFalse	"The effects of @CHEMICAL$ in the basilar artery were not modified by incubation with either the 5-HT2 receptor antagonist ketanserin (0.01-1 microM), the 5-HT3 and 5-HT4 receptor antagonist ICS205930 (tropisetron; 0.1-10 microM), the 5-HT1A receptor antagonist spiroxatrine (0.01-1 microM), the beta-adrenoceptor blocker with high affinity for 5-HT1A and 5-HT1B binding sites (+/-)-pindolol (0.01-1 microM), or the @GENE$ antagonist prazosin (0.01-1 microM)."
24	CPRFalse	Our findings suggest that stimulation of @CHEMICAL$ plays a positive role in the @GENE$-induced EAP in rats.
25	CPRFalse	This observation suggests that MDMA-induced reductions in @CHEMICAL$ density do not represent neuroadaptive responses to decreased levels of brain serotonin, but may occur in response to some other stimulus or to the neurotoxic effects of @GENE$.
26	CPRFalse	One major route involves the tetrahydrofolate (@CHEMICAL$)-dependent activities of the @GENE$ (GDC, EC 2.1.1.10) and serine hydroxymethyltransferase (SHMT, EC 2.1.2.1) with glycine (Gly) as one-carbon (1-C) source.
